Query_ID,Query_Text,Query_Type,Source_Document,LSI_nDCG@5,Language_Model_nDCG@5,BM25_nDCG@5,Fusion_nDCG@5
Q1,going double athens,key_sentence_extract,sport_034.txt,0.6828368343059494,0.8463587753606744,0.7443183091121691,0.6056462014393411
Q2,change history richards,key_sentence_extract,sport_040.txt,0.7262287617954056,0.8472668887613066,0.8472668887613066,0.819876640193745
Q3,iaaf decision nothing,key_sentence_extract,sport_033.txt,1.0,1.0,1.0,1.0
Q4,laptop gadget,key_sentence_extract,tech_009.txt,0.7943233365467345,1.0,1.0,0.9218235822624828
Q5,swiss army knife,key_sentence_extract,tech_009.txt,1.0,1.0,1.0,1.0
